id,Geographic Area Name,Total_Population_18plus,Less than high school graduate,High school graduate,Some college or associate's degree,Bachelor's degree or higher,zcta
8600000US90001,ZCTA5 90001,40854,19516,10445,8796,2097,90001
8600000US90002,ZCTA5 90002,36045,16371,9756,8001,1917,90002
8600000US90003,ZCTA5 90003,50055,21705,14955,10677,2718,90003
8600000US90004,ZCTA5 90004,48931,11842,10953,9959,16177,90004
8600000US90005,ZCTA5 90005,32524,9105,7568,6208,9643,90005
8600000US90006,ZCTA5 90006,46347,18172,11085,8851,8239,90006
8600000US90007,ZCTA5 90007,36428,7408,5746,14058,9216,90007
8600000US90008,ZCTA5 90008,26752,4020,5082,10223,7427,90008
8600000US90010,ZCTA5 90010,3429,276,554,955,1644,90010
8600000US90011,ZCTA5 90011,76066,39243,17744,15181,3898,90011
8600000US90012,ZCTA5 90012,33437,9242,6360,7309,10526,90012
8600000US90013,ZCTA5 90013,12154,1828,2384,3335,4607,90013
8600000US90014,ZCTA5 90014,8561,1143,1488,2297,3633,90014
8600000US90015,ZCTA5 90015,18648,4820,2884,4291,6653,90015
8600000US90016,ZCTA5 90016,36892,8828,7931,11505,8628,90016
8600000US90017,ZCTA5 90017,21792,7362,3399,4500,6531,90017
8600000US90018,ZCTA5 90018,41187,11155,10283,11822,7927,90018
8600000US90019,ZCTA5 90019,52987,11911,10137,13382,17557,90019
8600000US90020,ZCTA5 90020,32031,5368,7246,6623,12794,90020
8600000US90021,ZCTA5 90021,2612,835,440,598,739,90021
8600000US90022,ZCTA5 90022,48808,20209,12562,11981,4056,90022
8600000US90023,ZCTA5 90023,33345,15556,8644,6964,2181,90023
8600000US90024,ZCTA5 90024,47451,917,4731,22816,18987,90024
8600000US90025,ZCTA5 90025,41378,2794,3468,7280,27836,90025
8600000US90026,ZCTA5 90026,57531,12581,9608,13842,21500,90026
8600000US90027,ZCTA5 90027,39488,3809,5895,8762,21022,90027
8600000US90028,ZCTA5 90028,27759,2871,4522,7886,12480,90028
8600000US90029,ZCTA5 90029,31206,7785,7098,7501,8822,90029
8600000US90031,ZCTA5 90031,31306,11359,6652,6920,6375,90031
8600000US90032,ZCTA5 90032,37525,11184,8566,10992,6783,90032
8600000US90033,ZCTA5 90033,34861,15653,8523,6720,3965,90033
8600000US90034,ZCTA5 90034,46559,4072,5232,11465,25790,90034
8600000US90035,ZCTA5 90035,21341,1051,2428,4753,13109,90035
8600000US90036,ZCTA5 90036,31843,829,2953,6975,21086,90036
8600000US90037,ZCTA5 90037,48804,21099,13570,10902,3233,90037
8600000US90038,ZCTA5 90038,24086,5806,4820,5726,7734,90038
8600000US90039,ZCTA5 90039,24775,3299,3407,6167,11902,90039
8600000US90040,ZCTA5 90040,9392,3727,2279,2549,837,90040
8600000US90041,ZCTA5 90041,23978,2366,3785,7877,9950,90041
8600000US90042,ZCTA5 90042,51096,11325,10661,13646,15464,90042
8600000US90043,ZCTA5 90043,36953,6395,8252,13337,8969,90043
8600000US90044,ZCTA5 90044,70030,24118,20957,19813,5142,90044
8600000US90045,ZCTA5 90045,34192,945,3433,12223,17591,90045
8600000US90046,ZCTA5 90046,46975,1483,5403,11584,28505,90046
8600000US90047,ZCTA5 90047,40246,8125,11029,15327,5765,90047
8600000US90048,ZCTA5 90048,19494,775,1551,4011,13157,90048
8600000US90049,ZCTA5 90049,29809,821,1695,4866,22427,90049
8600000US90056,ZCTA5 90056,6255,273,753,2036,3193,90056
8600000US90057,ZCTA5 90057,38920,16116,7734,7747,7323,90057
8600000US90058,ZCTA5 90058,1601,811,443,273,74,90058
8600000US90059,ZCTA5 90059,30333,11251,8646,8416,2020,90059
8600000US90061,ZCTA5 90061,20205,7983,5147,5675,1400,90061
8600000US90062,ZCTA5 90062,27601,9234,7195,7841,3331,90062
8600000US90063,ZCTA5 90063,39453,16829,9267,9638,3719,90063
8600000US90064,ZCTA5 90064,20882,1181,1876,4193,13632,90064
8600000US90065,ZCTA5 90065,37227,8224,7214,9333,12456,90065
8600000US90066,ZCTA5 90066,49572,5754,5878,11915,26025,90066
8600000US90067,ZCTA5 90067,2237,25,150,517,1545,90067
8600000US90068,ZCTA5 90068,18799,688,1566,4514,12031,90068
8600000US90069,ZCTA5 90069,19142,245,2178,4141,12578,90069
8600000US90071,ZCTA5 90071,126,5,9,61,51,90071
8600000US90073,ZCTA5 90073,953,224,287,349,93,90073
8600000US90077,ZCTA5 90077,6533,257,564,829,4883,90077
8600000US90079,ZCTA5 90079,0,0,0,0,0,90079
8600000US90089,ZCTA5 90089,3678,6,511,3088,73,90089
8600000US90090,ZCTA5 90090,0,0,0,0,0,90090
8600000US90094,ZCTA5 90094,7662,56,91,1547,5968,90094
8600000US90095,ZCTA5 90095,0,0,0,0,0,90095
8600000US90201,ZCTA5 90201,71934,31126,20125,16346,4337,90201
8600000US90210,ZCTA5 90210,15404,748,1953,2860,9843,90210
8600000US90211,ZCTA5 90211,6530,284,769,1471,4006,90211
8600000US90212,ZCTA5 90212,10598,169,1075,2832,6522,90212
8600000US90220,ZCTA5 90220,37449,12061,10785,11065,3538,90220
8600000US90221,ZCTA5 90221,36920,14306,11131,9403,2080,90221
8600000US90222,ZCTA5 90222,22815,8040,7360,5585,1830,90222
8600000US90230,ZCTA5 90230,25969,3186,3711,6429,12643,90230
8600000US90232,ZCTA5 90232,12423,699,1347,3375,7002,90232
8600000US90240,ZCTA5 90240,19768,3878,4833,6181,4876,90240
8600000US90241,ZCTA5 90241,33390,5873,8488,11647,7382,90241
8600000US90242,ZCTA5 90242,32555,6627,8694,11141,6093,90242
8600000US90245,ZCTA5 90245,12687,469,1716,3439,7063,90245
8600000US90247,ZCTA5 90247,37897,7881,9876,12201,7939,90247
8600000US90248,ZCTA5 90248,9459,1592,2720,2735,2412,90248
8600000US90249,ZCTA5 90249,21114,4532,4795,7013,4774,90249
8600000US90250,ZCTA5 90250,72309,15045,17966,24292,15006,90250
8600000US90254,ZCTA5 90254,16049,450,996,2606,11997,90254
8600000US90255,ZCTA5 90255,54890,25589,13692,12019,3590,90255
8600000US90260,ZCTA5 90260,26698,6396,6080,8570,5652,90260
8600000US90262,ZCTA5 90262,50584,19654,15418,11927,3585,90262
8600000US90263,ZCTA5 90263,1816,0,242,1539,35,90263
8600000US90265,ZCTA5 90265,14996,489,1351,3930,9226,90265
8600000US90266,ZCTA5 90266,26014,750,1729,4562,18973,90266
8600000US90270,ZCTA5 90270,19599,8806,5951,3784,1058,90270
8600000US90272,ZCTA5 90272,16487,426,827,2820,12414,90272
8600000US90274,ZCTA5 90274,19641,373,1699,3975,13594,90274
8600000US90275,ZCTA5 90275,33283,1067,3172,7585,21459,90275
8600000US90277,ZCTA5 90277,28243,979,2699,7377,17188,90277
8600000US90278,ZCTA5 90278,30723,1168,3764,8343,17448,90278
8600000US90280,ZCTA5 90280,69065,26711,18434,17864,6056,90280
8600000US90290,ZCTA5 90290,4672,155,419,1071,3027,90290
8600000US90291,ZCTA5 90291,23398,1320,2430,4519,15129,90291
8600000US90292,ZCTA5 90292,21124,530,1646,4569,14379,90292
8600000US90293,ZCTA5 90293,11386,283,780,2302,8021,90293
8600000US90301,ZCTA5 90301,29090,8017,6703,10617,3753,90301
8600000US90302,ZCTA5 90302,22537,4200,4320,7998,6019,90302
8600000US90303,ZCTA5 90303,18041,5143,5031,5514,2353,90303
8600000US90304,ZCTA5 90304,18486,7993,4636,4173,1684,90304
8600000US90305,ZCTA5 90305,12652,961,2772,4907,4012,90305
8600000US90401,ZCTA5 90401,6714,254,450,1415,4595,90401
8600000US90402,ZCTA5 90402,9101,174,665,1528,6734,90402
8600000US90403,ZCTA5 90403,20663,319,1647,3531,15166,90403
8600000US90404,ZCTA5 90404,19180,1938,2628,4824,9790,90404
8600000US90405,ZCTA5 90405,23906,1273,1823,4990,15820,90405
8600000US90501,ZCTA5 90501,32026,4801,6856,10003,10366,90501
8600000US90502,ZCTA5 90502,14955,2445,3215,4291,5004,90502
8600000US90503,ZCTA5 90503,35675,1728,6331,9292,18324,90503
8600000US90504,ZCTA5 90504,26897,2212,5138,9203,10344,90504
8600000US90505,ZCTA5 90505,28656,1349,3656,8284,15367,90505
8600000US90506,ZCTA5 90506,0,0,0,0,0,90506
8600000US90601,ZCTA5 90601,25419,2959,6353,9539,6568,90601
8600000US90602,ZCTA5 90602,19449,3058,6280,6841,3270,90602
8600000US90603,ZCTA5 90603,16705,1137,4086,6322,5160,90603
8600000US90604,ZCTA5 90604,32618,4200,10684,12179,5555,90604
8600000US90605,ZCTA5 90605,30138,5466,9516,9967,5189,90605
8600000US90606,ZCTA5 90606,25662,5980,8396,7687,3599,90606
8600000US90620,ZCTA5 90620,36791,4195,8418,13728,10450,90620
8600000US90621,ZCTA5 90621,27157,5375,6361,8118,7303,90621
8600000US90623,ZCTA5 90623,12835,880,2235,4026,5694,90623
8600000US90630,ZCTA5 90630,37997,2961,7048,12820,15168,90630
8600000US90631,ZCTA5 90631,53153,8040,12333,17784,14996,90631
8600000US90638,ZCTA5 90638,39983,3676,9433,15490,11384,90638
8600000US90640,ZCTA5 90640,48660,12054,13318,14403,8885,90640
8600000US90650,ZCTA5 90650,79745,17310,23041,25854,13540,90650
8600000US90660,ZCTA5 90660,48690,12793,15585,14339,5973,90660
8600000US90670,ZCTA5 90670,13016,2059,4406,4192,2359,90670
8600000US90680,ZCTA5 90680,22847,5483,5998,7050,4316,90680
8600000US90701,ZCTA5 90701,13397,2579,3370,3844,3604,90701
8600000US90703,ZCTA5 90703,41162,2681,5946,12056,20479,90703
8600000US90704,ZCTA5 90704,2977,398,746,1170,663,90704
8600000US90706,ZCTA5 90706,57510,12298,14807,20701,9704,90706
8600000US90710,ZCTA5 90710,21474,4602,4987,6540,5345,90710
8600000US90712,ZCTA5 90712,24387,1703,4951,10205,7528,90712
8600000US90713,ZCTA5 90713,22147,1543,4941,9418,6245,90713
8600000US90715,ZCTA5 90715,15729,2118,3891,5670,4050,90715
8600000US90716,ZCTA5 90716,10402,3745,2973,2659,1025,90716
8600000US90717,ZCTA5 90717,16968,2287,3919,4995,5767,90717
8600000US90720,ZCTA5 90720,17114,1015,2920,4503,8676,90720
8600000US90723,ZCTA5 90723,38955,11800,11290,11786,4079,90723
8600000US90731,ZCTA5 90731,46598,8994,11839,16085,9680,90731
8600000US90732,ZCTA5 90732,18496,1458,3778,6085,7175,90732
8600000US90740,ZCTA5 90740,21126,1151,2688,7260,10027,90740
8600000US90742,ZCTA5 90742,636,23,78,244,291,90742
8600000US90743,ZCTA5 90743,190,0,16,70,104,90743
8600000US90744,ZCTA5 90744,40435,15792,10959,10636,3048,90744
8600000US90745,ZCTA5 90745,44812,8775,10189,14518,11330,90745
8600000US90746,ZCTA5 90746,22344,2831,4115,8316,7082,90746
8600000US90747,ZCTA5 90747,0,0,0,0,0,90747
8600000US90755,ZCTA5 90755,9390,1258,1377,2549,4206,90755
8600000US90802,ZCTA5 90802,33427,3972,4964,11366,13125,90802
8600000US90803,ZCTA5 90803,28553,1529,2449,9523,15052,90803
8600000US90804,ZCTA5 90804,30960,6375,5825,10840,7920,90804
8600000US90805,ZCTA5 90805,68373,17286,18556,24057,8474,90805
8600000US90806,ZCTA5 90806,31323,9463,6645,10324,4891,90806
8600000US90807,ZCTA5 90807,26196,2390,4228,9406,10172,90807
8600000US90808,ZCTA5 90808,30938,1919,5602,10751,12666,90808
8600000US90810,ZCTA5 90810,28339,7321,7586,9109,4323,90810
8600000US90813,ZCTA5 90813,41392,15621,8758,12090,4923,90813
8600000US90814,ZCTA5 90814,16583,1355,2095,5040,8093,90814
8600000US90815,ZCTA5 90815,33751,1816,4414,13034,14487,90815
8600000US90822,ZCTA5 90822,133,41,32,21,39,90822
8600000US90831,ZCTA5 90831,0,0,0,0,0,90831
8600000US91001,ZCTA5 91001,30361,3132,4910,9802,12517,91001
8600000US91006,ZCTA5 91006,25632,1854,3964,7170,12644,91006
8600000US91007,ZCTA5 91007,26981,2609,4461,6286,13625,91007
8600000US91008,ZCTA5 91008,939,90,112,255,482,91008
8600000US91010,ZCTA5 91010,21460,3746,4895,7438,5381,91010
8600000US91011,ZCTA5 91011,15019,423,1031,2810,10755,91011
8600000US91016,ZCTA5 91016,32706,3465,7134,10841,11266,91016
8600000US91020,ZCTA5 91020,6970,840,1241,2314,2575,91020
8600000US91024,ZCTA5 91024,8940,200,1276,2236,5228,91024
8600000US91030,ZCTA5 91030,19338,729,1768,4420,12421,91030
8600000US91040,ZCTA5 91040,16891,1929,3765,5660,5537,91040
8600000US91042,ZCTA5 91042,22398,3018,5588,8156,5636,91042
8600000US91046,ZCTA5 91046,158,29,82,0,47,91046
8600000US91101,ZCTA5 91101,18682,1468,1799,4558,10857,91101
8600000US91103,ZCTA5 91103,21571,4454,4618,5595,6904,91103
8600000US91104,ZCTA5 91104,29859,5003,5499,6893,12464,91104
8600000US91105,ZCTA5 91105,10528,485,769,2284,6990,91105
8600000US91106,ZCTA5 91106,21329,1310,2911,5230,11878,91106
8600000US91107,ZCTA5 91107,26650,2042,3704,6933,13971,91107
8600000US91108,ZCTA5 91108,10365,249,692,1609,7815,91108
8600000US91201,ZCTA5 91201,19379,3499,4705,5278,5897,91201
8600000US91202,ZCTA5 91202,19772,2009,3868,5315,8580,91202
8600000US91203,ZCTA5 91203,12713,1613,3091,3448,4561,91203
8600000US91204,ZCTA5 91204,15347,2980,3926,4311,4130,91204
8600000US91205,ZCTA5 91205,31633,5111,7274,9024,10224,91205
8600000US91206,ZCTA5 91206,28408,2812,5597,8593,11406,91206
8600000US91207,ZCTA5 91207,8955,379,1750,2714,4112,91207
8600000US91208,ZCTA5 91208,12569,476,1741,3492,6860,91208
8600000US91210,ZCTA5 91210,393,0,26,94,273,91210
8600000US91214,ZCTA5 91214,23720,1642,3512,6685,11881,91214
8600000US91301,ZCTA5 91301,20577,703,2787,5743,11344,91301
8600000US91302,ZCTA5 91302,20427,520,2695,5461,11751,91302
8600000US91303,ZCTA5 91303,24307,6225,5800,7046,5236,91303
8600000US91304,ZCTA5 91304,42633,6922,9966,13863,11882,91304
8600000US91306,ZCTA5 91306,38903,8037,9539,11968,9359,91306
8600000US91307,ZCTA5 91307,20646,1467,3765,5821,9593,91307
8600000US91311,ZCTA5 91311,33521,2513,7176,11277,12555,91311
8600000US91316,ZCTA5 91316,24232,1766,3991,7048,11427,91316
8600000US91320,ZCTA5 91320,33845,1802,4734,11006,16303,91320
8600000US91321,ZCTA5 91321,25631,4591,6031,9090,5919,91321
8600000US91324,ZCTA5 91324,24538,2903,4130,8352,9153,91324
8600000US91325,ZCTA5 91325,28155,3128,5629,9853,9545,91325
8600000US91326,ZCTA5 91326,29109,2216,4171,7397,15325,91326
8600000US91330,ZCTA5 91330,3171,0,410,2615,146,91330
8600000US91331,ZCTA5 91331,79296,31004,21753,18634,7905,91331
8600000US91335,ZCTA5 91335,63522,13627,15221,19952,14722,91335
8600000US91340,ZCTA5 91340,26626,9555,8041,6344,2686,91340
8600000US91342,ZCTA5 91342,70786,18973,20399,19396,12018,91342
8600000US91343,ZCTA5 91343,49284,11427,11866,14191,11800,91343
8600000US91344,ZCTA5 91344,42968,4456,9374,13944,15194,91344
8600000US91345,ZCTA5 91345,15150,2849,4491,5198,2612,91345
8600000US91350,ZCTA5 91350,26665,1869,4962,10626,9208,91350
8600000US91351,ZCTA5 91351,24733,3369,6293,9362,5709,91351
8600000US91352,ZCTA5 91352,36330,11500,9843,9304,5683,91352
8600000US91354,ZCTA5 91354,23050,937,3221,7494,11398,91354
8600000US91355,ZCTA5 91355,23957,1074,3538,9142,10203,91355
8600000US91356,ZCTA5 91356,24292,1709,3743,7352,11488,91356
8600000US91360,ZCTA5 91360,34629,2774,5446,12772,13637,91360
8600000US91361,ZCTA5 91361,16604,500,1566,4256,10282,91361
8600000US91362,ZCTA5 91362,29029,2092,3901,8320,14716,91362
8600000US91364,ZCTA5 91364,22266,1093,3479,6242,11452,91364
8600000US91367,ZCTA5 91367,37739,2130,5098,11146,19365,91367
8600000US91371,ZCTA5 91371,0,0,0,0,0,91371
8600000US91377,ZCTA5 91377,10388,221,962,2833,6372,91377
8600000US91381,ZCTA5 91381,14274,558,1892,4466,7358,91381
8600000US91384,ZCTA5 91384,22867,4298,4911,8309,5349,91384
8600000US91387,ZCTA5 91387,30425,3062,6295,11933,9135,91387
8600000US91390,ZCTA5 91390,14624,1224,2879,5609,4912,91390
8600000US91401,ZCTA5 91401,31577,5702,6491,8950,10434,91401
8600000US91402,ZCTA5 91402,53771,17207,14901,13163,8500,91402
8600000US91403,ZCTA5 91403,21335,540,2208,5384,13203,91403
8600000US91405,ZCTA5 91405,42330,10393,10430,12774,8733,91405
8600000US91406,ZCTA5 91406,41995,9003,9661,13106,10225,91406
8600000US91411,ZCTA5 91411,19900,4378,3776,5264,6482,91411
8600000US91423,ZCTA5 91423,27609,1107,2840,7687,15975,91423
8600000US91436,ZCTA5 91436,11972,461,1137,2671,7703,91436
8600000US91501,ZCTA5 91501,17143,1296,3491,5345,7011,91501
8600000US91502,ZCTA5 91502,9240,1165,1939,3139,2997,91502
8600000US91504,ZCTA5 91504,21156,1557,3940,7072,8587,91504
8600000US91505,ZCTA5 91505,25262,1800,3940,8533,10989,91505
8600000US91506,ZCTA5 91506,15249,1200,2819,5704,5526,91506
8600000US91601,ZCTA5 91601,32231,3771,5349,10366,12745,91601
8600000US91602,ZCTA5 91602,17128,950,1842,4998,9338,91602
8600000US91604,ZCTA5 91604,27215,754,2399,6461,17601,91604
8600000US91605,ZCTA5 91605,41756,11105,9856,13528,7267,91605
8600000US91606,ZCTA5 91606,35006,8165,8067,11090,7684,91606
8600000US91607,ZCTA5 91607,25737,2114,3563,8029,12031,91607
8600000US91608,ZCTA5 91608,21,0,0,11,10,91608
8600000US91701,ZCTA5 91701,31155,2201,6356,12620,9978,91701
8600000US91702,ZCTA5 91702,48674,8625,13324,18458,8267,91702
8600000US91706,ZCTA5 91706,58706,17985,17995,15564,7162,91706
8600000US91708,ZCTA5 91708,3243,747,504,1147,845,91708
8600000US91709,ZCTA5 91709,62350,3945,10968,20317,27120,91709
8600000US91710,ZCTA5 91710,73156,14853,17895,25163,15245,91710
8600000US91711,ZCTA5 91711,29933,1629,4085,10233,13986,91711
8600000US91722,ZCTA5 91722,26713,4510,7747,9316,5140,91722
8600000US91723,ZCTA5 91723,14093,2069,3802,5422,2800,91723
8600000US91724,ZCTA5 91724,20898,2440,4952,7530,5976,91724
8600000US91730,ZCTA5 91730,54991,6205,11953,22269,14564,91730
8600000US91731,ZCTA5 91731,22940,8788,6530,5049,2573,91731
8600000US91732,ZCTA5 91732,48585,17469,13451,11702,5963,91732
8600000US91733,ZCTA5 91733,34259,13915,10041,6984,3319,91733
8600000US91737,ZCTA5 91737,19151,1181,3831,7605,6534,91737
8600000US91739,ZCTA5 91739,29598,1677,4845,10467,12609,91739
8600000US91740,ZCTA5 91740,20161,2359,4665,7684,5453,91740
8600000US91741,ZCTA5 91741,20523,1044,3486,7094,8899,91741
8600000US91744,ZCTA5 91744,65119,19888,20325,18157,6749,91744
8600000US91745,ZCTA5 91745,44576,6034,10692,13728,14122,91745
8600000US91746,ZCTA5 91746,23125,6941,6678,6673,2833,91746
8600000US91748,ZCTA5 91748,38130,5263,8715,10279,13873,91748
8600000US91750,ZCTA5 91750,26974,2040,5041,10246,9647,91750
8600000US91752,ZCTA5 91752,26120,5310,7901,8431,4478,91752
8600000US91754,ZCTA5 91754,27369,4661,5820,7784,9104,91754
8600000US91755,ZCTA5 91755,22617,5160,6057,5332,6068,91755
8600000US91759,ZCTA5 91759,275,19,39,108,109,91759
8600000US91761,ZCTA5 91761,45980,9582,12938,15954,7506,91761
8600000US91762,ZCTA5 91762,45185,11851,13073,13491,6770,91762
8600000US91763,ZCTA5 91763,28844,7029,7896,9699,4220,91763
8600000US91764,ZCTA5 91764,41536,10741,11276,13401,6118,91764
8600000US91765,ZCTA5 91765,37357,1937,5539,10011,19870,91765
8600000US91766,ZCTA5 91766,53602,16610,13462,15013,8517,91766
8600000US91767,ZCTA5 91767,37929,8870,9480,12930,6649,91767
8600000US91768,ZCTA5 91768,27135,7360,6838,9665,3272,91768
8600000US91770,ZCTA5 91770,50643,15110,13227,12434,9872,91770
8600000US91773,ZCTA5 91773,26874,1962,5351,10330,9231,91773
8600000US91775,ZCTA5 91775,19608,2161,3582,4942,8923,91775
8600000US91776,ZCTA5 91776,32367,7436,9498,6958,8475,91776
8600000US91780,ZCTA5 91780,27732,3519,5927,7947,10339,91780
8600000US91784,ZCTA5 91784,21027,749,3419,7667,9192,91784
8600000US91786,ZCTA5 91786,41510,5581,10362,15907,9660,91786
8600000US91789,ZCTA5 91789,36146,2762,5891,10238,17255,91789
8600000US91790,ZCTA5 91790,35497,5513,10574,11757,7653,91790
8600000US91791,ZCTA5 91791,26304,3371,6974,7944,8015,91791
8600000US91792,ZCTA5 91792,23892,2536,5786,7975,7595,91792
8600000US91801,ZCTA5 91801,45790,6825,10687,11668,16610,91801
8600000US91803,ZCTA5 91803,24262,4417,5775,6972,7098,91803
8600000US91901,ZCTA5 91901,13967,872,3032,5642,4421,91901
8600000US91902,ZCTA5 91902,15439,1328,2578,5346,6187,91902
8600000US91905,ZCTA5 91905,1365,208,477,532,148,91905
8600000US91906,ZCTA5 91906,2967,789,871,888,419,91906
8600000US91910,ZCTA5 91910,58270,10658,13360,20761,13491,91910
8600000US91911,ZCTA5 91911,64116,15896,17501,20936,9783,91911
8600000US91913,ZCTA5 91913,38878,3380,6293,14734,14471,91913
8600000US91914,ZCTA5 91914,12239,873,2109,4051,5206,91914
8600000US91915,ZCTA5 91915,23246,1311,3720,9130,9085,91915
8600000US91916,ZCTA5 91916,1527,85,319,761,362,91916
8600000US91917,ZCTA5 91917,748,96,168,326,158,91917
8600000US91931,ZCTA5 91931,376,70,155,97,54,91931
8600000US91932,ZCTA5 91932,20003,3049,5299,7645,4010,91932
8600000US91934,ZCTA5 91934,300,63,23,199,15,91934
8600000US91935,ZCTA5 91935,7007,488,1404,2539,2576,91935
8600000US91941,ZCTA5 91941,25342,1548,4702,8961,10131,91941
8600000US91942,ZCTA5 91942,32452,2570,6346,12221,11315,91942
8600000US91945,ZCTA5 91945,20354,4032,5108,7586,3628,91945
8600000US91948,ZCTA5 91948,130,0,13,30,87,91948
8600000US91950,ZCTA5 91950,49814,11299,15182,17192,6141,91950
8600000US91962,ZCTA5 91962,1602,136,337,644,485,91962
8600000US91963,ZCTA5 91963,937,291,169,257,220,91963
8600000US91977,ZCTA5 91977,48555,6956,12016,19459,10124,91977
8600000US91978,ZCTA5 91978,7850,801,1757,3295,1997,91978
8600000US91980,ZCTA5 91980,0,0,0,0,0,91980
8600000US92003,ZCTA5 92003,4021,518,759,1290,1454,92003
8600000US92004,ZCTA5 92004,2042,274,753,546,469,92004
8600000US92007,ZCTA5 92007,9162,325,1000,2441,5396,92007
8600000US92008,ZCTA5 92008,22222,1348,3332,6226,11316,92008
